25-40,41+,18-24,South,West,Mid-West,North-East,NonEnrolled,Unknown
0,1,0,0,1,0,0,1,0
1,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0
1,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,1,0
0,0,1,0,0,0,1,0,1
0,1,0,0,1,0,0,0,1
0,0,1,0,0,0,1,1,0
1,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,0,0,0,1,1,0
0,0,1,1,0,0,0,0,1
0,0,1,0,1,0,0,0,1
1,0,0,1,0,0,0,0,1
0,1,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
0,1,0,0,0,1,0,1,0
1,0,0,0,0,1,0,1,0
0,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0
0,1,0,0,1,0,0,1,0
0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,0,0,1,0,0,1
0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0
1,0,0,0,0,0,1,0,1
0,0,1,1,0,0,0,1,0
1,0,0,0,0,0,1,0,1
1,0,0,0,0,1,0,1,0
1,0,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0,1
0,0,1,1,0,0,0,0,1
1,0,0,0,0,0,1,0,1
0,1,0,1,0,0,0,1,0
0,0,1,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0
0,0,1,0,0,0,1,1,0
1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0
0,1,0,0,0,1,0,1,0
0,0,1,1,0,0,0,0,1
0,0,1,0,1,0,0,1,0
0,1,0,0,0,0,1,1,0
0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
0,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0
1,0,0,0,0,1,0,1,0
0,0,1,0,0,0,1,1,0
1,0,0,0,0,1,0,1,0
1,0,0,1,0,0,0,0,1
1,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0
0,1,0,1,0,0,0,0,1
0,0,1,0,1,0,0,0,1
0,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,1,0,0,0,0,1
1,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,1,0
0,0,1,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0
0,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,0,1,0,0,0,1
0,0,1,1,0,0,0,0,1
1,0,0,0,1,0,0,0,1
1,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1
0,1,0,0,1,0,0,0,1
1,0,0,0,0,1,0,0,1
0,0,1,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,1,0,0,0,0,1
0,0,1,1,0,0,0,0,1
0,1,0,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,0,1
0,1,0,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0
0,0,1,1,0,0,0,0,1
1,0,0,0,1,0,0,0,1
0,1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0
0,0,1,0,0,0,1,1,0
0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,0,1
0,1,0,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,0,0,0,1,1,0
0,0,1,0,0,1,0,0,1
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0
0,0,1,0,1,0,0,1,0
0,1,0,1,0,0,0,1,0
0,1,0,1,0,0,0,0,1
0,1,0,0,0,0,1,1,0
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1
1,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0
0,0,1,1,0,0,0,0,1
0,1,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0
0,1,0,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0
0,1,0,0,0,1,0,1,0
1,0,0,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0
0,1,0,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1
0,1,0,0,0,1,0,1,0
0,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0
0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,0,0,1,0,1,0
0,0,1,0,0,0,1,1,0
0,0,1,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1
0,1,0,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1
0,0,1,0,1,0,0,0,1
0,0,1,0,1,0,0,0,1
1,0,0,0,0,1,0,0,1
0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,0,1
0,0,1,0,0,0,1,0,1
0,0,1,1,0,0,0,0,1
1,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0,1
1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,0,1
1,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,1
0,1,0,1,0,0,0,0,1
1,0,0,1,0,0,0,0,1
0,0,1,1,0,0,0,0,1
0,0,1,0,1,0,0,1,0
0,0,1,0,1,0,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0
0,0,1,0,1,0,0,1,0
1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,1,0
0,1,0,0,0,1,0,0,1
0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,0,1
1,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0,1
0,1,0,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0
0,1,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,1,0
1,0,0,0,1,0,0,1,0
0,0,1,0,1,0,0,0,1
0,0,1,1,0,0,0,0,1
0,0,1,0,1,0,0,1,0
0,1,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0,1
1,0,0,0,0,1,0,1,0
0,0,1,0,0,1,0,0,1
1,0,0,0,0,0,1,1,0
0,1,0,0,1,0,0,1,0
1,0,0,0,1,0,0,1,0
0,1,0,1,0,0,0,1,0
0,0,1,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,1,0,0,1,0
0,0,1,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,0,0,1
1,0,0,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,1,0
0,1,0,1,0,0,0,0,1
1,0,0,1,0,0,0,1,0
0,0,1,1,0,0,0,0,1
0,0,1,0,1,0,0,1,0
0,0,1,0,0,1,0,1,0
1,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,1,0
0,0,1,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0
1,0,0,0,0,1,0,0,1
0,0,1,0,0,1,0,0,1
1,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0
0,0,1,0,1,0,0,1,0
0,0,1,0,0,1,0,1,0
1,0,0,1,0,0,0,0,1
0,0,1,1,0,0,0,1,0
0,1,0,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,1,0
1,0,0,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,0,0,1
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0
0,0,1,1,0,0,0,1,0
0,1,0,0,0,1,0,1,0
0,1,0,0,0,0,1,0,1
1,0,0,1,0,0,0,1,0
0,0,1,0,0,1,0,0,1
0,0,1,0,1,0,0,0,1
1,0,0,0,1,0,0,0,1
0,0,1,0,1,0,0,1,0
0,1,0,0,0,0,1,1,0
1,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0,1
0,1,0,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
0,1,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0,1
1,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1
0,1,0,0,0,0,1,1,0
0,1,0,0,0,1,0,1,0
1,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,1,0
0,1,0,0,1,0,0,0,1
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1
1,0,0,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1
1,0,0,1,0,0,0,0,1
0,1,0,0,0,1,0,0,1
0,1,0,1,0,0,0,1,0
0,1,0,0,1,0,0,0,1
0,0,1,0,1,0,0,1,0
0,0,1,1,0,0,0,0,1
1,0,0,1,0,0,0,0,1
0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1
0,0,1,0,1,0,0,1,0
0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0
0,0,1,0,0,1,0,0,1
1,0,0,1,0,0,0,1,0
0,1,0,0,0,1,0,1,0
0,1,0,1,0,0,0,0,1
0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,0,0,0,1,1,0
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1
0,1,0,0,0,1,0,1,0
1,0,0,0,0,1,0,1,0
0,0,1,0,0,1,0,0,1
1,0,0,1,0,0,0,0,1
0,1,0,0,0,0,1,1,0
0,1,0,0,0,0,1,1,0
0,1,0,1,0,0,0,0,1
0,0,1,0,1,0,0,0,1
0,1,0,0,0,1,0,0,1
1,0,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0
0,0,1,0,1,0,0,1,0
1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0
0,0,1,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,0,0,1
1,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0
0,1,0,1,0,0,0,0,1
0,1,0,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0
1,0,0,0,1,0,0,1,0
0,1,0,1,0,0,0,0,1
0,0,1,0,1,0,0,1,0
0,1,0,0,0,1,0,1,0
0,0,1,1,0,0,0,0,1
1,0,0,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1
0,1,0,0,0,1,0,1,0
0,1,0,1,0,0,0,0,1
1,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1
0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0
0,1,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,1,0,0,0,1,0,1,0
0,1,0,0,0,1,0,1,0
1,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,0,0,1
1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,1,0
0,1,0,0,1,0,0,0,1
0,0,1,1,0,0,0,0,1
0,1,0,1,0,0,0,0,1
0,0,1,0,1,0,0,1,0
0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0
1,0,0,1,0,0,0,0,1
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,1,0,0,0,0,1
1,0,0,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0
0,1,0,0,0,0,1,1,0
0,1,0,0,1,0,0,1,0
0,0,1,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
0,1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,0,1,0,0,0,1
0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0
0,1,0,0,1,0,0,0,1
0,0,1,0,1,0,0,0,1
0,0,1,0,1,0,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,1,0,0,1,0
0,1,0,1,0,0,0,0,1
0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1
0,0,1,1,0,0,0,0,1
0,0,1,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0
1,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,0,1
1,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1
0,1,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,0,1
1,0,0,0,0,1,0,1,0
0,0,1,0,0,0,1,0,1
0,0,1,0,1,0,0,1,0
0,0,1,0,0,1,0,1,0
0,1,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0
0,1,0,0,0,0,1,0,1
1,0,0,0,0,0,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,0,1
1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,1,0
1,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1
1,0,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0
0,1,0,1,0,0,0,0,1
0,1,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0
0,1,0,0,0,0,1,1,0
0,1,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,1,0,0,1,0
0,1,0,0,1,0,0,1,0
1,0,0,0,0,1,0,1,0
0,1,0,1,0,0,0,0,1
0,1,0,0,0,0,1,1,0
1,0,0,1,0,0,0,1,0
0,0,1,0,1,0,0,0,1
0,0,1,0,1,0,0,1,0
0,0,1,1,0,0,0,0,1
0,1,0,0,0,1,0,1,0
0,0,1,0,0,1,0,0,1
0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1
0,0,1,0,1,0,0,0,1
0,1,0,1,0,0,0,0,1
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,0,1
0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0
0,0,1,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0
0,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1
0,1,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,1
1,0,0,0,1,0,0,1,0
0,1,0,0,1,0,0,1,0
0,0,1,1,0,0,0,0,1
0,1,0,0,0,1,0,1,0
1,0,0,0,1,0,0,1,0
0,1,0,0,0,1,0,1,0
1,0,0,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,0,1,0,0,0,1
0,0,1,0,1,0,0,0,1
0,0,1,0,0,1,0,0,1
0,0,1,0,1,0,0,1,0
1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0
0,1,0,0,0,1,0,1,0
0,0,1,1,0,0,0,0,1
0,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0
0,0,1,0,1,0,0,1,0
0,0,1,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
0,1,0,0,0,0,0,1,0
0,1,0,0,0,1,0,0,1
0,0,1,1,0,0,0,0,1
1,0,0,1,0,0,0,1,0
0,0,1,1,0,0,0,0,1
0,1,0,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0
0,0,1,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0
0,1,0,0,1,0,0,1,0
0,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1
0,0,1,0,1,0,0,0,1
1,0,0,1,0,0,0,0,1
1,0,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,0,1,0,0,0,1
0,0,1,1,0,0,0,0,1
1,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1
0,0,1,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0
1,0,0,0,1,0,0,0,1
1,0,0,0,0,1,0,1,0
1,0,0,0,1,0,0,0,1
0,1,0,0,0,1,0,1,0
1,0,0,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,1
1,0,0,1,0,0,0,1,0
0,0,1,0,0,1,0,1,0
1,0,0,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0
0,1,0,0,0,0,1,1,0
1,0,0,0,0,0,1,1,0
1,0,0,1,0,0,0,1,0
0,0,1,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,0,0,1,0,1,0
1,0,0,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,0,0,0,1,1,0
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
0,1,0,0,0,1,0,1,0
0,1,0,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,0,0,0,1,1,0
1,0,0,0,0,1,0,1,0
1,0,0,0,1,0,0,1,0
1,0,0,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0
0,1,0,0,1,0,0,1,0
0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0
1,0,0,0,0,0,1,1,0
0,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0
1,0,0,0,1,0,0,1,0
0,0,1,0,1,0,0,1,0
0,1,0,0,1,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0
1,0,0,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0
0,1,0,1,0,0,0,1,0
0,0,1,0,0,0,1,1,0
1,0,0,0,0,1,0,1,0
1,0,0,0,0,0,1,1,0
1,0,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0
0,0,1,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0
0,1,0,0,0,1,0,1,0
0,0,1,0,0,1,0,1,0
1,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
0,1,0,0,0,0,1,1,0
0,1,0,0,1,0,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1
1,0,0,1,0,0,0,1,0
0,0,1,0,0,1,0,1,0
0,1,0,0,0,1,0,1,0
0,0,1,0,0,1,0,1,0
1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0
0,0,1,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
0,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0
0,1,0,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,0,0,1,0,0,1
0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0
0,1,0,0,0,1,0,1,0
1,0,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,0,0,0,1,1,0
1,0,0,1,0,0,0,0,1
0,0,1,0,1,0,0,1,0
0,1,0,0,0,0,1,1,0
1,0,0,0,0,1,0,1,0
1,0,0,0,1,0,0,0,1
0,0,1,0,0,1,0,0,1
0,1,0,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0
1,0,0,0,0,0,1,1,0
0,0,1,0,1,0,0,0,1
1,0,0,0,0,1,0,1,0
1,0,0,0,0,0,1,1,0
1,0,0,0,1,0,0,1,0
1,0,0,0,0,1,0,1,0
0,0,1,0,0,0,1,0,1
0,0,1,1,0,0,0,0,1
1,0,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,1,0,0,0,0,1
0,0,1,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0
1,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,1
0,1,0,0,0,1,0,1,0
1,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,0,1
1,0,0,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1
1,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0
0,0,1,1,0,0,0,0,1
0,0,1,0,1,0,0,0,1
1,0,0,0,1,0,0,1,0
0,0,1,0,1,0,0,1,0
1,0,0,0,0,1,0,0,1
0,0,1,1,0,0,0,0,1
1,0,0,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0
0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0
0,0,1,0,0,0,1,0,1
0,0,1,0,0,1,0,0,1
0,0,1,1,0,0,0,0,1
0,0,1,0,1,0,0,1,0
0,0,1,0,1,0,0,1,0
1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,0,1
1,0,0,0,1,0,0,0,1
0,0,1,0,0,1,0,0,1
1,0,0,0,1,0,0,1,0
1,0,0,0,0,0,1,0,1
0,0,1,1,0,0,0,0,1
1,0,0,1,0,0,0,1,0
0,0,1,0,0,0,1,1,0
1,0,0,0,0,1,0,0,1
